"Category Group","Category","Feb 2026","Mar 2026","Apr 2026","May 2026","Average","Total"
"Day to Day","Everyday Expenses",-1548.82,-8872.81,-6163.45,-4351.03,-5234.03,-20936.11
"Day to Day","Medical  / Health🌡",-118.97,-1479.66,-570.72,-46.78,-554.03,-2216.13
"Expected Bills","Brown's Gym",0.00,0.00,-425.81,-425.81,-212.91,-851.62
"Expected Bills","Cable & Internet 🖥️",0.00,-80.00,-80.00,0.00,-40.00,-160.00
"Expected Bills","Car Maintenance",0.00,-1340.96,-9.57,0.00,-337.63,-1350.53
"Expected Bills","College Funds 🎓",0.00,0.00,0.00,-495.00,-123.75,-495.00
"Expected Bills","Electricity 💡",0.00,-278.71,-325.73,-302.13,-226.64,-906.57
"Expected Bills","Home Insurance 💥",-427.33,-427.34,-427.33,0.00,-320.50,-1282.00
"Expected Bills","Mortgage 🏘",-1320.84,-1320.84,-1320.84,0.00,-990.63,-3962.52
"Expected Bills","Pest Control 🐜",0.00,0.00,-139.10,0.00,-34.77,-139.10
"Expected Bills","Phone 📱",0.00,-137.55,-137.55,0.00,-68.78,-275.10
"Expected Bills","Pool Service 🏊",0.00,-175.00,0.00,0.00,-43.75,-175.00
"Expected Bills","School Tuition 🏫",0.00,-1443.80,-1433.80,0.00,-719.40,-2877.60
"Expected Bills","Subscription Services - Monthly",-24.17,-188.24,-434.23,-234.35,-220.25,-880.99
"Expected Bills","Subscription Services - Yearly",-98.10,-256.26,-0.99,-189.97,-136.33,-545.32
"Expected Bills","Summer Camps",0.00,0.00,-42.00,-612.50,-163.63,-654.50
"Expected Bills","Utilities 🚿",0.00,-120.70,-113.68,0.00,-58.59,-234.38
"Paying Off","Ongoing Payments",-49.95,-49.95,-164.45,0.00,-66.09,-264.35
"Paying Off","Income Taxes",0.00,0.00,-4288.00,0.00,-1072.00,-4288.00
"Paying Off","TrustCo HECL",0.00,-10429.99,-300.76,0.00,-2682.69,-10730.75
"Paying Off","Mom+Jane Remodel Loan",0.00,-200.00,-100.00,0.00,-75.00,-300.00
"Saving Goals","Payments for Kids",0.00,0.00,-10.00,0.00,-2.50,-10.00
"Saving Goals","Archie Birthday",0.00,-147.38,-502.62,0.00,-162.50,-650.00
"Saving Goals","Calina Birthday",0.00,-614.38,0.00,0.00,-153.59,-614.38
"Saving Goals","Emme Birthday",0.00,-459.92,0.00,0.00,-114.98,-459.92
"Saving Goals","Mel Birthday",0.00,-147.38,-387.38,0.00,-133.69,-534.76
"Saving Goals","Big Expenses",0.00,-8297.01,-748.01,-497.82,-2385.71,-9542.84
