"Category","Mar 2022","Apr 2022","May 2022","Jun 2022","Jul 2022","Aug 2022","Sep 2022","Oct 2022","Nov 2022","Dec 2022","Jan 2023","Feb 2023","Mar 2023","Apr 2023","May 2023","Jun 2023","Jul 2023","Aug 2023","Sep 2023","Oct 2023","Nov 2023","Dec 2023","Jan 2024","Feb 2024","Mar 2024","Apr 2024","May 2024","Jun 2024","Jul 2024","Aug 2024","Sep 2024","Oct 2024","Nov 2024","Dec 2024","Jan 2025","Feb 2025","Mar 2025","Apr 2025","May 2025","Jun 2025","Jul 2025","Aug 2025","Sep 2025","Oct 2025","Nov 2025","Average","Total"
"All Income Sources",5039.77,6496.65,39221.15,7397.02,22859.84,8218.37,20975.88,12603.15,16880.98,13468.14,7253.26,16767.99,15157.98,7752.29,27422.44,32421.39,7002.28,20676.26,8388.41,10033.30,23341.38,16136.53,9237.60,28091.74,9598.24,10195.24,40748.94,29392.03,10955.32,24976.88,35465.44,36556.51,31902.96,8817.29,14616.12,17302.52,42179.82,7249.21,44072.75,45529.17,5849.95,45827.76,10994.19,14523.48,4869.22,19432.60,874466.84
"[No Payee]",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,177.78,8000.00
"Ahs Sunbelt Inc Main",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,216.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.82,216.78
"Amazon",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,227.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.54,249.31
"Apa Treas",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,103.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.30,103.68
"Bank of America Mobile",2037.24,67.05,2033.40,0.00,773.29,0.00,305.04,0.00,449.13,470.00,50.98,969.50,8.84,404.00,409.50,1499.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,210.60,9476.97
"Businessolver",192.30,384.60,384.60,384.60,384.60,576.90,384.60,384.60,496.60,56.00,60.00,0.00,1440.00,0.00,0.00,0.00,0.00,0.00,409.76,1051.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,146.46,6590.88
"Cash",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,972.00,0.00,0.00,21.60,972.00
"Check",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1061.00,50.00,0.00,0.00,0.00,0.00,10000.00,0.00,0.00,0.00,246.91,11111.00
"DAILY CASH ADJUSTMENT",0.00,-2.94,0.00,0.00,0.00,0.00,-0.51,0.00,0.00,0.00,-0.40,0.00,0.00,0.00,-0.53,0.00,0.00,0.00,0.00,-1.20,0.00,-2.25,0.00,0.00,0.00,0.00,-0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.19,-8.69
