"Category","Feb 2026","Mar 2026","Apr 2026","May 2026","Average","Total"
"All Income Sources",2403.84,13921.04,13561.80,11244.41,10282.77,41131.09
"Agency",0.00,2403.84,2403.84,2403.84,1802.88,7211.52
"Agency Vendrs Colin Campbell",0.00,400.00,0.00,0.00,100.00,400.00
"Bank of America",0.00,49.74,77.10,64.16,47.75,191.00
"Bank of America Mobile Deposit",0.00,0.00,0.00,50.00,12.50,50.00
"Ea Tiburon",0.00,8483.06,4971.81,8545.85,5500.18,22000.72
"Ea Tiburon Payroll Campbel",0.00,0.00,3490.97,0.00,872.74,3490.97
"In House",2403.84,2403.84,2403.84,0.00,1802.88,7211.52
"Lake Mary Life",0.00,0.00,245.00,0.00,61.25,245.00
"Reconciliation Balance Adjustment",0.00,0.00,-211.32,0.00,-52.83,-211.32
"Zelle Transfer",0.00,180.56,180.56,180.56,135.42,541.68
"Total Income",2403.84,13921.04,13561.80,11244.41,10282.77,41131.09
"Day to Day",-1667.79,-10352.47,-6734.17,-4397.81,-5788.06,-23152.24
"Everyday Expenses",-1548.82,-8872.81,-6163.45,-4351.03,-5234.03,-20936.11
"Medical  / Health🌡",-118.97,-1479.66,-570.72,-46.78,-554.03,-2216.13
"Expected Bills",-1870.44,-5769.40,-4890.63,-2259.76,-3697.56,-14790.23
"Brown's Gym",0.00,0.00,-425.81,-425.81,-212.91,-851.62
"Cable & Internet 🖥️",0.00,-80.00,-80.00,0.00,-40.00,-160.00
"Car Maintenance",0.00,-1340.96,-9.57,0.00,-337.63,-1350.53
"College Funds 🎓",0.00,0.00,0.00,-495.00,-123.75,-495.00
"Electricity 💡",0.00,-278.71,-325.73,-302.13,-226.64,-906.57
"Home Insurance 💥",-427.33,-427.34,-427.33,0.00,-320.50,-1282.00
"Mortgage 🏘",-1320.84,-1320.84,-1320.84,0.00,-990.63,-3962.52
"Pest Control 🐜",0.00,0.00,-139.10,0.00,-34.77,-139.10
"Phone 📱",0.00,-137.55,-137.55,0.00,-68.78,-275.10
"Pool Service 🏊",0.00,-175.00,0.00,0.00,-43.75,-175.00
"School Tuition 🏫",0.00,-1443.80,-1433.80,0.00,-719.40,-2877.60
"Subscription Services - Monthly",-24.17,-188.24,-434.23,-234.35,-220.25,-880.99
"Subscription Services - Yearly",-98.10,-256.26,-0.99,-189.97,-136.33,-545.32
"Summer Camps",0.00,0.00,-42.00,-612.50,-163.63,-654.50
"Utilities 🚿",0.00,-120.70,-113.68,0.00,-58.59,-234.38
"Paying Off",-49.95,-10679.94,-4853.21,0.00,-3895.78,-15583.10
"Ongoing Payments",-49.95,-49.95,-164.45,0.00,-66.09,-264.35
"Income Taxes",0.00,0.00,-4288.00,0.00,-1072.00,-4288.00
"TrustCo HECL",0.00,-10429.99,-300.76,0.00,-2682.69,-10730.75
"Mom+Jane Remodel Loan",0.00,-200.00,-100.00,0.00,-75.00,-300.00
"Saving Goals",0.00,-9666.07,-1648.01,-497.82,-2952.97,-11811.90
"Payments for Kids",0.00,0.00,-10.00,0.00,-2.50,-10.00
"Archie Birthday",0.00,-147.38,-502.62,0.00,-162.50,-650.00
"Calina Birthday",0.00,-614.38,0.00,0.00,-153.59,-614.38
"Emme Birthday",0.00,-459.92,0.00,0.00,-114.98,-459.92
"Mel Birthday",0.00,-147.38,-387.38,0.00,-133.69,-534.76
"Big Expenses",0.00,-8297.01,-748.01,-497.82,-2385.71,-9542.84
"Total Expenses",-3588.18,-36467.88,-18126.02,-7155.39,-16334.37,-65337.47
"Net Income",-1184.34,-22546.84,-4564.22,4089.02,-6051.60,-24206.38
