"Account","Flag","Date","Payee","Category Group/Category","Category Group","Category","Memo","Outflow","Inflow","Cleared"
"Shared Checking (1852)","","11/17/2025","Target","","","","",$295.39,$0.00,"Cleared"
"Chase Sapphire (1661)","","11/17/2025","Huneycutt Family Practice","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$292.00,$0.00,"Cleared"
"Chase Prime Visa (8863)","","11/17/2025","Amazon","","","","",$157.72,$0.00,"Cleared"
"Shared Checking (1852)","","11/17/2025","T-Mobile","Fixed Monthly Expenses: Phone 📱","Fixed Monthly Expenses","Phone 📱","",$135.27,$0.00,"Cleared"
"Chase Disney Visa (0810)","","11/17/2025","Tokyo Sushi Hibachi","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$66.90,$0.00,"Cleared"
"Chase Prime Visa (8863)","","11/17/2025","Amazon","","","","",$21.35,$0.00,"Cleared"
"Chase Sapphire (1661)","","11/16/2025","Browns Gym Orbit Sports","Day to Day Variables: Education 🎓","Day to Day Variables","Education 🎓","",$23.00,$0.00,"Cleared"
"Chase Disney Visa (0810)","","11/16/2025","Krispy Kreme","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$18.69,$0.00,"Cleared"
"Chase Disney Visa (0810)","","11/16/2025","Walt Disney World","Fun Money: Date Night 💞","Fun Money","Date Night 💞","",$14.13,$0.00,"Cleared"
"Chase Disney Visa (0810)","","11/16/2025","Taco Bell","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$12.07,$0.00,"Cleared"
"Chase Disney Visa (0810)","","11/16/2025","Flavored by Fire","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$11.50,$0.00,"Cleared"
"Chase Disney Visa (0810)","","11/16/2025","Walt Disney World","Fun Money: Date Night 💞","Fun Money","Date Night 💞","",$10.50,$0.00,"Cleared"
"Chase Disney Visa (0810)","","11/16/2025","Bug Eyed Entertainmen","","","","",$5.59,$0.00,"Cleared"
"Chase Disney Visa (0810)","","11/16/2025","Bug Eyed Entertainmen","","","","",$5.59,$0.00,"Cleared"
"Shared Checking (1852)","","11/14/2025","Vanguard College Savings Plan","Fixed Infrequent Expenses: Kids' College Funds 🎓","Fixed Infrequent Expenses","Kids' College Funds 🎓","",$150.00,$0.00,"Cleared"
"Shared Checking (1852)","","11/14/2025","Vanguard College Savings Plan","Fixed Infrequent Expenses: Kids' College Funds 🎓","Fixed Infrequent Expenses","Kids' College Funds 🎓","",$150.00,$0.00,"Cleared"
"Shared Checking (1852)","","11/14/2025","Vanguard College Savings Plan","Fixed Infrequent Expenses: Kids' College Funds 🎓","Fixed Infrequent Expenses","Kids' College Funds 🎓","",$150.00,$0.00,"Cleared"
"Chase Disney Visa (0810)","","11/14/2025","Creative Culineers","","","","",$14.00,$0.00,"Cleared"
"Chase Sapphire (1661)","","11/14/2025","The Collective","Saving Goals: Christmas 🎄","Saving Goals","Christmas 🎄","",$13.90,$0.00,"Cleared"
"Shared Checking (1852)","","11/14/2025","Greenlight","Day to Day Variables: Education 🎓","Day to Day Variables","Education 🎓","",$10.00,$0.00,"Cleared"
"Chase Disney Visa (0810)","","11/14/2025","Joffrey's Coffee","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$3.40,$0.00,"Cleared"
